Segment,Min,Max,Average,Median
1,4,240,127.23184317129629,123.0
2,0,247,127.05269820601852,123.0
3,1,246,123.31852213541667,123.0
4,0,250,121.86245840567129,123.0
5,2,246,120.68079969618056,123.0
6,0,251,117.7005027488426,123.0
7,0,248,116.82088216145833,123.0
8,0,249,114.12302879050925,123.0
9,0,233,115.23533347800925,123.0
10,0,223,112.68495912905092,124.0
11,0,226,109.66163013599537,125.0
12,0,223,111.70242874710648,124.0
13,0,230,116.31333188657408,124.0
14,0,225,128.81908275462962,126.0
15,2,242,132.78634982638889,129.0
16,13,219,134.9231861255787,129.0
